Diamond_League_Country,ISO2Code
USA,US
GBR,GB
RSA,ZA
CAN,CA
JAM,JM
SRI,LK
FRA,FR
GHA,GH
JPN,JP
BOT,BW
AUS,AU
ITA,IT
NED,NL
SWE,SE
DOM,DO
TTO,TT
LBR,LR
CUB,CU
BEL,BE
SUI,CH
MAR,MA
GRN,GD
BAH,BS
DEN,DK
NOR,NO
KEN,KE
ALG,DZ
POL,PL
BIH,BA
ESP,ES
IRL,IE
QAT,QA
LUX,LU
ETH,ET
NZL,NZ
BDI,BI
SSD,SS
UGA,UG
GUA,GT
GER,DE
IND,IN
BRA,BR
CYP,CY
EST,EE
TUR,TR
IVB,VG
UKR,UA
KOR,KR
ISR,IL
PHI,PH
GRE,GR
URU,UY
FIN,FI
BUR,BF
POR,PT
CHN,CN
CRO,HR
SRB,RS
SLO,SI
LTU,LT
AUT,AT
SAM,AS
CZE,CZ
LAT,LV
MDA,MD
CIV,CI
NIG,NE
GAM,GM
BAR,BB
ROU,RO
KAZ,KZ
BRN,BN
ALB,AL
TUN,TN
PUR,PR
NGR,NG
PAN,PA
MNE,ME
UZB,UZ
VEN,VE
STP,ST
DMA,DM
